DateKey;CalendarYear;CalendarHalfYearLabel;CalendarQuarterLabel;CalendarMonth;CalendarMonthLabel;CalendarWeekLabel;CalendarDayOfWeekLabel;IsWorkDay;Start of Week;End of Week
2008-03-24 00:00:00,000;2008;"H1";"Q1";200803;"March";"Week 13";"Monday";"WorkDay";2008-03-23 00:00:00,000;2008-03-30 00:00:00,000
2008-03-25 00:00:00,000;2008;"H1";"Q1";200803;"March";"Week 13";"Tuesday";"WorkDay";2008-03-23 00:00:00,000;2008-03-30 00:00:00,000
2008-03-26 00:00:00,000;2008;"H1";"Q1";200803;"March";"Week 13";"Wednesday";"WorkDay";2008-03-23 00:00:00,000;2008-03-30 00:00:00,000
2008-03-27 00:00:00,000;2008;"H1";"Q1";200803;"March";"Week 13";"Thursday";"WorkDay";2008-03-23 00:00:00,000;2008-03-30 00:00:00,000
2008-03-28 00:00:00,000;2008;"H1";"Q1";200803;"March";"Week 13";"Friday";"WorkDay";2008-03-23 00:00:00,000;2008-03-30 00:00:00,000
2008-03-31 00:00:00,000;2008;"H1";"Q1";200803;"March";"Week 14";"Monday";"WorkDay";2008-03-30 00:00:00,000;2008-04-06 00:00:00,000
2008-04-01 00:00:00,000;2008;"H1";"Q2";200804;"April";"Week 14";"Tuesday";"WorkDay";2008-03-30 00:00:00,000;2008-04-06 00:00:00,000
2008-04-02 00:00:00,000;2008;"H1";"Q2";200804;"April";"Week 14";"Wednesday";"WorkDay";2008-03-30 00:00:00,000;2008-04-06 00:00:00,000
2008-04-03 00:00:00,000;2008;"H1";"Q2";200804;"April";"Week 14";"Thursday";"WorkDay";2008-03-30 00:00:00,000;2008-04-06 00:00:00,000
2008-04-04 00:00:00,000;2008;"H1";"Q2";200804;"April";"Week 14";"Friday";"WorkDay";2008-03-30 00:00:00,000;2008-04-06 00:00:00,000
2008-04-07 00:00:00,000;2008;"H1";"Q2";200804;"April";"Week 15";"Monday";"WorkDay";2008-04-06 00:00:00,000;2008-04-13 00:00:00,000
2008-04-08 00:00:00,000;2008;"H1";"Q2";200804;"April";"Week 15";"Tuesday";"WorkDay";2008-04-06 00:00:00,000;2008-04-13 00:00:00,000
2008-04-09 00:00:00,000;2008;"H1";"Q2";200804;"April";"Week 15";"Wednesday";"WorkDay";2008-04-06 00:00:00,000;2008-04-13 00:00:00,000
2008-04-10 00:00:00,000;2008;"H1";"Q2";200804;"April";"Week 15";"Thursday";"WorkDay";2008-04-06 00:00:00,000;2008-04-13 00:00:00,000
2008-04-11 00:00:00,000;2008;"H1";"Q2";200804;"April";"Week 15";"Friday";"WorkDay";2008-04-06 00:00:00,000;2008-04-13 00:00:00,000
2008-04-14 00:00:00,000;2008;"H1";"Q2";200804;"April";"Week 16";"Monday";"WorkDay";2008-04-13 00:00:00,000;2008-04-20 00:00:00,000
2008-04-15 00:00:00,000;2008;"H1";"Q2";200804;"April";"Week 16";"Tuesday";"WorkDay";2008-04-13 00:00:00,000;2008-04-20 00:00:00,000
2008-04-16 00:00:00,000;2008;"H1";"Q2";200804;"April";"Week 16";"Wednesday";"WorkDay";2008-04-13 00:00:00,000;2008-04-20 00:00:00,000
2008-04-17 00:00:00,000;2008;"H1";"Q2";200804;"April";"Week 16";"Thursday";"WorkDay";2008-04-13 00:00:00,000;2008-04-20 00:00:00,000
2008-04-18 00:00:00,000;2008;"H1";"Q2";200804;"April";"Week 16";"Friday";"WorkDay";2008-04-13 00:00:00,000;2008-04-20 00:00:00,000
2008-04-21 00:00:00,000;2008;"H1";"Q2";200804;"April";"Week 17";"Monday";"WorkDay";2008-04-20 00:00:00,000;2008-04-27 00:00:00,000
2008-04-22 00:00:00,000;2008;"H1";"Q2";200804;"April";"Week 17";"Tuesday";"WorkDay";2008-04-20 00:00:00,000;2008-04-27 00:00:00,000
2008-04-23 00:00:00,000;2008;"H1";"Q2";200804;"April";"Week 17";"Wednesday";"WorkDay";2008-04-20 00:00:00,000;2008-04-27 00:00:00,000
2008-04-24 00:00:00,000;2008;"H1";"Q2";200804;"April";"Week 17";"Thursday";"WorkDay";2008-04-20 00:00:00,000;2008-04-27 00:00:00,000
2008-04-25 00:00:00,000;2008;"H1";"Q2";200804;"April";"Week 17";"Friday";"WorkDay";2008-04-20 00:00:00,000;2008-04-27 00:00:00,000
